Time (hrs),LED Luminosity,Unit Number,Temperature (K)
3696,0.9145,Unit 6,298.15
4032,0.9076,Unit 6,298.15
4368,0.8913,Unit 6,298.15
4704,0.9049,Unit 6,298.15
5040,0.9048,Unit 6,298.15
5376,0.9052,Unit 6,298.15
5712,0.8567,Unit 6,298.15
6048,0.8589,Unit 6,298.15
6384,0.8652,Unit 6,298.15
6720,0.8227,Unit 6,298.15
7056,0.8514,Unit 6,298.15
7392,0.8747,Unit 6,298.15
7728,0.8787,Unit 6,298.15
8064,0.8266,Unit 6,298.15
8400,0.8423,Unit 6,298.15
8736,0.8153,Unit 6,298.15
9072,0.8144,Unit 6,298.15
9408,0.8105,Unit 6,298.15
9744,0.8281,Unit 6,298.15
336,0.9814,Unit 7,298.15
672,0.9571,Unit 7,298.15
1008,0.9439,Unit 7,298.15
1344,0.9761,Unit 7,298.15
1680,0.948,Unit 7,298.15
2016,0.9572,Unit 7,298.15
2352,0.9457,Unit 7,298.15
2688,0.9331,Unit 7,298.15
3024,0.9425,Unit 7,298.15
3360,0.9464,Unit 7,298.15
3696,0.9178,Unit 7,298.15
4032,0.9152,Unit 7,298.15
4368,0.891,Unit 7,298.15
4704,0.8874,Unit 7,298.15
5040,0.9114,Unit 7,298.15
5376,0.8974,Unit 7,298.15
5712,0.886,Unit 7,298.15
6048,0.892,Unit 7,298.15
6384,0.8954,Unit 7,298.15
6720,0.8627,Unit 7,298.15
7056,0.881,Unit 7,298.15
7392,0.8649,Unit 7,298.15
7728,0.8713,Unit 7,298.15
8064,0.8476,Unit 7,298.15
8400,0.8712,Unit 7,298.15
8736,0.8605,Unit 7,298.15
9072,0.8333,Unit 7,298.15
9408,0.8306,Unit 7,298.15
9744,0.8166,Unit 7,298.15
336,0.9642,Unit 8,298.15
672,0.9784,Unit 8,298.15
1008,0.9514,Unit 8,298.15
1344,0.899,Unit 8,298.15
1680,0.9057,Unit 8,298.15
2016,0.9144,Unit 8,298.15
2352,0.9181,Unit 8,298.15
2688,0.9058,Unit 8,298.15
3024,0.8976,Unit 8,298.15
3360,0.8881,Unit 8,298.15
3696,0.8955,Unit 8,298.15
4032,0.8568,Unit 8,298.15
4368,0.8756,Unit 8,298.15
4704,0.8335,Unit 8,298.15
5040,0.8738,Unit 8,298.15
5376,0.8392,Unit 8,298.15
5712,0.8488,Unit 8,298.15
6048,0.8475,Unit 8,298.15
6384,0.8399,Unit 8,298.15
6720,0.8245,Unit 8,298.15
7056,0.8277,Unit 8,298.15
7392,0.8252,Unit 8,298.15
7728,0.7972,Unit 8,298.15
8064,0.8115,Unit 8,298.15
8400,0.7999,Unit 8,298.15
8736,0.806,Unit 8,298.15
9072,0.817,Unit 8,298.15
9408,0.8162,Unit 8,298.15
9744,0.7806,Unit 8,298.15
336,0.9262,Unit 9,298.15
672,0.903,Unit 9,298.15
1008,0.8627,Unit 9,298.15
1344,0.8498,Unit 9,298.15
1680,0.8833,Unit 9,298.15
2016,0.8309,Unit 9,298.15
2352,0.8339,Unit 9,298.15
2688,0.8048,Unit 9,298.15
3024,0.8265,Unit 9,298.15
3360,0.7952,Unit 9,298.15
3696,0.8049,Unit 9,298.15
4032,0.8164,Unit 9,298.15
4368,0.7855,Unit 9,298.15
